GrossQTYRan,NumPerUnit,NumPerBundle,BoxLength,BoxWidth,BoxDepth,SheetLength,SheetWidth,NumInk,PercInk,Cost1,prodmonth,CostSet,CostRun,Cost1log,CostSetlog,CostRunlog,Machine4,ProductCodeEVOL,StyleRSC,StyleRSCL,CuttingDieOthers,CuttingDieUN,Grade40,Grade200,Grade32,FluteC,GlueJointGlue,WRAY,33Medium,26Medium,RockTennMRA,NUGHZ,NUG,40Medium,WRADW,33MediumDW,26MediumDW,Michelman40E,250BoxUnit,500BoxUnit,100Coverage,15PerBundle,BoxWidth55,DCAttachment,EaInkChange,EaPlateChange,ExtGlueTab,FullDieCut,FullPartDC,HHAttachment,Ink50
516,500,5,16,8,11,50,19.625,1,0.15,0.5679408,11,-0.0629,0.6308408,0.489225266,0.323087016,0.512882771,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,240,20,17.75,12,9.5,61.5,22,0,0,0.0994572,10,-0.0024,0.1018572,0.417688205,0.335397717,0.435924595,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,750,5,16.375,8.25,7.5,51,16.0625,1,0.1,-0.1165678,5,-0.1002,-0.0163678,0.380261726,0.315319465,0.416686929,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,450,0,16,12,8,58,20.625,0,0,-0.000786,8,-0.0463,0.045514,0.400721132,0.326499715,0.426862589,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,600,0,13,11.875,9.375,51.75,21.875,0,0,0.0162012,11,-0.008,0.0242012,0.40364342,0.334272757,0.423384826,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2690,250,0,19.75,15.75,8,73,24.375,0,0,0.102592,12,-0.0227,0.125292,0.418208256,0.331305799,0.439638771,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30904,900,0,8.625,7.375,4.6875,34,12.6875,1,0.2,-0.0553448,6,-0.0131,-0.0422448,0.391200193,0.333245699,0.412360068,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,500,5,12.375,6,12.75,38.6875,19,1,0.15,-0.0693745,7,-0.0654,-0.0039745,0.388717785,0.322570724,0.418744029,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
500,1000,0,13.375,6.75,4.375,42.25,11.625,1,0.1,0.092,6,0.0232,0.0688,0.416448577,0.340503603,0.430630765,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5173,900,25,16.375,6.9375,7.3125,48.5625,14.6875,0,0,0.2328474,7,0.077,0.1558474,0.439284398,0.351042206,0.444434268,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3140,500,0,12,8,8.25,42,16.875,1,0.15,0.502832,11,0.0912,0.411632,0.47996075,0.353781635,0.482627623,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2621,500,5,13.0625,9.75,8.875,47.625,19.125,1,0.15,0.2503898,12,-0.0116,0.2619898,0.442046293,0.333548027,0.46069291,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,750,0,10.125,10.125,6,42.5,16.625,0,0,0.154028,11,0.0248,0.129228,0.42665353,0.340820737,0.440259484,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5110,600,5,15.25,10.125,4.875,52.75,15.625,1,0.15,0.499618,2,0.0182,0.481418,0.479498262,0.339511066,0.492490065,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,500,0,16,8,9.5,50,18.125,1,0.15,0.0548872,4,-0.0546,0.1094872,0.410226047,0.324796718,0.437137363,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,125,25,14,14,10.75,58,25.25,1,0.15,-0.0262748,5,-0.0727,0.0464252,0.396299101,0.321059629,0.427010657,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
